CMDLINE C:\Users\Usuario\AppData\Local\Microsoft\WindowsApps\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\python.exe julia_set_memory_profiling.py
MEM 134.925781 1712632785.3771
MEM 134.925781 1712632785.4775
MEM 134.925781 1712632785.5781
MEM 134.925781 1712632785.6784
MEM 134.925781 1712632785.7789
MEM 134.925781 1712632785.8794
MEM 134.925781 1712632785.9797
MEM 134.925781 1712632786.0799
MEM 134.925781 1712632786.1802
MEM 134.925781 1712632786.2804
MEM 134.925781 1712632786.3807
MEM 134.925781 1712632786.4809
MEM 134.925781 1712632786.5814
MEM 134.925781 1712632786.6820
MEM 134.925781 1712632786.7827
MEM 134.925781 1712632786.8831
MEM 134.925781 1712632786.9837
MEM 134.925781 1712632787.0843
MEM 134.925781 1712632787.1848
MEM 134.925781 1712632787.2851
MEM 134.925781 1712632787.3855
MEM 134.925781 1712632787.4860
MEM 134.925781 1712632787.5863
MEM 134.925781 1712632787.6865
MEM 134.925781 1712632787.7868
MEM 134.925781 1712632787.8874
MEM 134.925781 1712632787.9877
MEM 134.925781 1712632788.0878
MEM 134.925781 1712632788.1884
MEM 134.925781 1712632788.2890
MEM 134.925781 1712632788.3896
MEM 134.925781 1712632788.4900
MEM 134.925781 1712632788.5904
MEM 134.925781 1712632788.6906
MEM 134.925781 1712632788.7913
MEM 134.925781 1712632788.8920
MEM 134.925781 1712632788.9923
MEM 134.925781 1712632789.0928
MEM 134.925781 1712632789.1934
MEM 134.925781 1712632789.2940
MEM 134.925781 1712632789.3946
MEM 134.925781 1712632789.4952
MEM 134.925781 1712632789.5955
MEM 134.925781 1712632789.6959
MEM 134.925781 1712632789.7961
MEM 134.925781 1712632789.8964
MEM 134.925781 1712632789.9969
MEM 134.925781 1712632790.0972
MEM 134.925781 1712632790.1978
MEM 134.925781 1712632790.2985
MEM 134.925781 1712632790.3991
MEM 134.925781 1712632790.4994
MEM 134.925781 1712632790.5999
MEM 134.925781 1712632790.7001
MEM 134.925781 1712632790.8008
MEM 134.925781 1712632790.9013
